"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Alphen-Chaam";"Opgesteld vermogen omvormers";"kW";"";"16198";"19902";"20538"
"Alphen-Chaam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Altena";"Installaties";"aantal";"5952";"7818";"10322";"10844"
"Altena";"Opgesteld vermogen van zonnepanelen";"kWp";"50993";"70778";"90517";"94230"
"Altena";"Opgesteld vermogen omvormers";"kW";"";"62757";"79269";"82448"
"Altena";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ameland";"Installaties";"aantal";"483";"743";"943";"989"
"Ameland";"Opgesteld vermogen van zonnepanelen";"kWp";"8761";"10255";"11834";"12159"
"Ameland";"Opgesteld vermogen omvormers";"kW";"";"10021";"11340";"11617"
"Ameland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Amersfoort";"Installaties";"aantal";"18074";"23372";"27901";"29554"
"Amersfoort";"Opgesteld vermogen van zonnepanelen";"kWp";"80978";"116225";"138181";"144609"
"Amersfoort";"Opgesteld vermogen omvormers";"kW";"";"102709";"121399";"127081"
"Amersfoort";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Amstelveen";"Installaties";"aantal";"5683";"7419";"9382";"10042"
"Amstelveen";"Opgesteld vermogen van zonnepanelen";"kWp";"28643";"38488";"49750";"53079"
"Amstelveen";"Opgesteld vermogen omvormers";"kW";"";"35962";"45377";"48323"
"Amstelveen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Amsterdam";"Installaties";"aantal";"24429";"33257";"43721";"46241"
"Amsterdam";"Opgesteld vermogen van zonnepanelen";"kWp";"160576";"208180";"271511";"289163"
"Amsterdam";"Opgesteld vermogen omvormers";"kW";"";"187150";"239794";"254007"
"Amsterdam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Apeldoorn";"Installaties";"aantal";"18507";"24583";"31072";"32892"
"Apeldoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"138371";"169504";"205731";"231154"
"Apeldoorn";"Opgesteld vermogen omvormers";"kW";"";"148187";"178877";"197000"
"Apeldoorn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Appingedam";"Installaties";"aantal";"";"";"";""
"Appingedam";"Opgesteld vermogen van zonnepanelen";"kWp";"";"";"";""
"Appingedam";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Appingedam";"Productie van zonnestroom";"mln kWh";"";"";"";""
"Arnhem";"Installaties";"aantal";"10789";"14490";"18598";"19820"
"Arnhem";"Opgesteld vermogen van zonnepanelen";"kWp";"61514";"91966";"111845";"118206"
"Arnhem";"Opgesteld vermogen omvormers";"kW";"";"85915";"102973";"108689"
"Arnhem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Assen";"Installaties";"aantal";"10164";"11992";"14358";"14931"
"Assen";"Opgesteld vermogen van zonnepanelen";"kWp";"55032";"66953";"80133";"83721"
"Assen";"Opgesteld vermogen omvormers";"kW";"";"61462";"73069";"75867"
"Assen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Asten";"Installaties";"aantal";"2215";"2865";"3592";"3735"
"Asten";"Opgesteld vermogen van zonnepanelen";"kWp";"32788";"38552";"46060";"47830"
"Asten";"Opgesteld vermogen omvormers";"kW";"";"35212";"41383";"42873"
"Asten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Baarle-Nassau";"Installaties";"aantal";"702";"916";"1207";"1313"
"Baarle-Nassau";"Opgesteld vermogen van zonnepanelen";"kWp";"13912";"17820";"21884";"22107"
"Baarle-Nassau";"Opgesteld vermogen omvormers";"kW";"";"15655";"18952";"19068"
"Baarle-Nassau";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Baarn";"Installaties";"aantal";"2260";"3108";"3918";"4081"
"Baarn";"Opgesteld vermogen van zonnepanelen";"kWp";"9571";"12923";"16886";"17631"
"Baarn";"Opgesteld vermogen omvormers";"kW";"";"12130";"15512";"16162"
"Baarn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Barendrecht";"Installaties";"aantal";"4506";"6753";"8789";"9153"
"Barendrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"28640";"42472";"52719";"54506"
"Barendrecht";"Opgesteld vermogen omvormers";"kW";"";"37346";"46271";"47780"
"Barendrecht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Barneveld";"Installaties";"aantal";"6224";"8841";"11117";"11611"
"Barneveld";"Opgesteld vermogen van zonnepanelen";"kWp";"73376";"98436";"117808";"150249"
"Barneveld";"Opgesteld vermogen omvormers";"kW";"";"87884";"103904";"128150"
"Barneveld";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Beek (L.)";"Installaties";"aantal";"2522";"3032";"3702";"3897"
"Beek (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"13513";"16834";"21353";"22232"
"Beek (L.)";"Opgesteld vermogen omvormers";"kW";"";"15874";"19709";"20488"
"Beek (L.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Beekdaelen";"Installaties";"aantal";"5458";"6719";"8217";"8639"
"Beekdaelen";"Opgesteld vermogen van zonnepanelen";"kWp";"31614";"40746";"49229";"51285"
"Beekdaelen";"Opgesteld vermogen omvormers";"kW";"";"37835";"45186";"46971"
"Beekdaelen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Beemster";"Installaties";"aantal";"1436";"";"";""
"Beemster";"Opgesteld vermogen van zonnepanelen";"kWp";"9902";"";"";""
"Beemster";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Beemster";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Beesel";"Installaties";"aantal";"1856";"2434";"3067";"3260"
"Beesel";"Opgesteld vermogen van zonnepanelen";"kWp";"10538";"16362";"26875";"34910"
"Beesel";"Opgesteld vermogen omvormers";"kW";"";"14863";"23526";"29641"
"Beesel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Berg en Dal";"Installaties";"aantal";"3945";"5123";"6955";"7375"
"Berg en Dal";"Opgesteld vermogen van zonnepanelen";"kWp";"21385";"28640";"37165";"38952"
"Berg en Dal";"Opgesteld vermogen omvormers";"kW";"";"26606";"33893";"35453"
"Berg en Dal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bergeijk";"Installaties";"aantal";"2553";"3192";"4076";"4241"
"Bergeijk";"Opgesteld vermogen van zonnepanelen";"kWp";"30457";"35138";"42126";"43254"
"Bergeijk";"Opgesteld vermogen omvormers";"kW";"";"31957";"37941";"38903"
"Bergeijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bergen (L.)";"Installaties";"aantal";"1819";"2281";"3083";"3417"
"Bergen (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"15073";"18121";"22511";"24036"
"Bergen (L.)";"Opgesteld vermogen omvormers";"kW";"";"16580";"20414";"21706"
"Bergen (L.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bergen (NH.)";"Installaties";"aantal";"5095";"6271";"7290";"7547"
"Bergen (NH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"23247";"29444";"35684";"37104"
"Bergen (NH.)";"Opgesteld vermogen omvormers";"kW";"";"27752";"33237";"34509"
"Bergen (NH.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bergen op Zoom";"Installaties";"aantal";"7642";"9675";"12214";"12655"
"Bergen op Zoom";"Opgesteld vermogen van zonnepanelen";"kWp";"43476";"55103";"76767";"80468"
"Bergen op Zoom";"Opgesteld vermogen omvormers";"kW";"";"49490";"67171";"70147"
"Bergen op Zoom";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Berkelland";"Installaties";"aantal";"5485";"7018";"9086";"9670"
"Berkelland";"Opgesteld vermogen van zonnepanelen";"kWp";"66076";"84202";"143614";"172558"
"Berkelland";"Opgesteld vermogen omvormers";"kW";"";"72731";"114888";"138135"
"Berkelland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bernheze";"Installaties";"aantal";"4202";"5580";"7055";"7511"
"Bernheze";"Opgesteld vermogen van zonnepanelen";"kWp";"45510";"58135";"71499";"74443"
"Bernheze";"Opgesteld vermogen omvormers";"kW";"";"52028";"63478";"66084"
"Bernheze";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Best";"Installaties";"aantal";"4350";"5363";"6643";"6944"
"Best";"Opgesteld vermogen van zonnepanelen";"kWp";"36782";"45759";"53754";"55445"
"Best";"Opgesteld vermogen omvormers";"kW";"";"39986";"46992";"48453"
"Best";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Beuningen";"Installaties";"aantal";"3040";"4073";"5321";"5602"
"Beuningen";"Opgesteld vermogen van zonnepanelen";"kWp";"26356";"32604";"53898";"84942"
"Beuningen";"Opgesteld vermogen omvormers";"kW";"";"30070";"45451";"65413"
"Beuningen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Beverwijk";"Installaties";"aantal";"3620";"4586";"5582";"5883"
