"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Hof van Twente";"Installaties";"aantal";"4676";"6066";"7668";"7974"
"Hof van Twente";"Opgesteld vermogen van zonnepanelen";"kWp";"75625";"91177";"107417";"109937"
"Hof van Twente";"Opgesteld vermogen omvormers";"kW";"";"76873";"90578";"92806"
"Hof van Twente";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Het Hogeland";"Installaties";"aantal";"8476";"10360";"12244";"13133"
"Het Hogeland";"Opgesteld vermogen van zonnepanelen";"kWp";"103540";"124674";"135701";"142880"
"Het Hogeland";"Opgesteld vermogen omvormers";"kW";"";"106061";"115681";"121555"
"Het Hogeland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hollands Kroon";"Installaties";"aantal";"6897";"8919";"10860";"11434"
"Hollands Kroon";"Opgesteld vermogen van zonnepanelen";"kWp";"102272";"169951";"185915";"192351"
"Hollands Kroon";"Opgesteld vermogen omvormers";"kW";"";"157249";"170867";"176577"
"Hollands Kroon";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hoogeveen";"Installaties";"aantal";"7835";"9600";"11630";"12235"
"Hoogeveen";"Opgesteld vermogen van zonnepanelen";"kWp";"102922";"240019";"252669";"256888"
"Hoogeveen";"Opgesteld vermogen omvormers";"kW";"";"209693";"220861";"224611"
"Hoogeveen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hoorn";"Installaties";"aantal";"7264";"9750";"12093";"12996"
"Hoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"31512";"43786";"56460";"60683"
"Hoorn";"Opgesteld vermogen omvormers";"kW";"";"41060";"52044";"55733"
"Hoorn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Horst aan de Maas";"Installaties";"aantal";"7130";"8978";"10980";"11386"
"Horst aan de Maas";"Opgesteld vermogen van zonnepanelen";"kWp";"79754";"105586";"143715";"156266"
"Horst aan de Maas";"Opgesteld vermogen omvormers";"kW";"";"93364";"123461";"131184"
"Horst aan de Maas";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Houten";"Installaties";"aantal";"5973";"7802";"10044";"10412"
"Houten";"Opgesteld vermogen van zonnepanelen";"kWp";"62980";"73448";"86302";"106418"
"Houten";"Opgesteld vermogen omvormers";"kW";"";"59789";"70500";"87501"
"Houten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Huizen";"Installaties";"aantal";"4609";"5888";"7254";"7634"
"Huizen";"Opgesteld vermogen van zonnepanelen";"kWp";"16649";"21791";"28327";"30035"
"Huizen";"Opgesteld vermogen omvormers";"kW";"";"20965";"26570";"28062"
"Huizen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hulst";"Installaties";"aantal";"4765";"6892";"7921";"8168"
"Hulst";"Opgesteld vermogen van zonnepanelen";"kWp";"25578";"36707";"43567";"45312"
"Hulst";"Opgesteld vermogen omvormers";"kW";"";"33288";"39285";"40817"
"Hulst";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"IJsselstein";"Installaties";"aantal";"2914";"4204";"5373";"5677"
"IJsselstein";"Opgesteld vermogen van zonnepanelen";"kWp";"15041";"20441";"26123";"27367"
"IJsselstein";"Opgesteld vermogen omvormers";"kW";"";"18672";"23551";"24648"
"IJsselstein";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Kaag en Braassem";"Installaties";"aantal";"4016";"5318";"6443";"6738"
"Kaag en Braassem";"Opgesteld vermogen van zonnepanelen";"kWp";"21006";"28666";"35763";"37237"
"Kaag en Braassem";"Opgesteld vermogen omvormers";"kW";"";"26921";"33054";"34333"
"Kaag en Braassem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Kampen";"Installaties";"aantal";"6181";"7774";"9776";"10346"
"Kampen";"Opgesteld vermogen van zonnepanelen";"kWp";"62859";"73488";"86899";"89829"
"Kampen";"Opgesteld vermogen omvormers";"kW";"";"67548";"79112";"81633"
"Kampen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Kapelle";"Installaties";"aantal";"2152";"3104";"3551";"3705"
"Kapelle";"Opgesteld vermogen van zonnepanelen";"kWp";"14992";"19616";"22805";"23844"
"Kapelle";"Opgesteld vermogen omvormers";"kW";"";"17887";"20544";"21467"
"Kapelle";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Katwijk";"Installaties";"aantal";"4857";"6911";"8863";"9259"
"Katwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"25916";"35084";"45358";"48013"
"Katwijk";"Opgesteld vermogen omvormers";"kW";"";"32400";"41327";"43630"
"Katwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Kerkrade";"Installaties";"aantal";"6193";"7321";"8813";"9077"
"Kerkrade";"Opgesteld vermogen van zonnepanelen";"kWp";"45228";"51285";"61131";"62893"
"Kerkrade";"Opgesteld vermogen omvormers";"kW";"";"43681";"52120";"53548"
"Kerkrade";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Koggenland";"Installaties";"aantal";"3092";"4086";"5017";"5230"
"Koggenland";"Opgesteld vermogen van zonnepanelen";"kWp";"24518";"31868";"39589";"41527"
"Koggenland";"Opgesteld vermogen omvormers";"kW";"";"29262";"35452";"36984"
"Koggenland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Krimpen aan den IJssel";"Installaties";"aantal";"2128";"3205";"4414";"4689"
"Krimpen aan den IJssel";"Opgesteld vermogen van zonnepanelen";"kWp";"9898";"14504";"20652";"21681"
"Krimpen aan den IJssel";"Opgesteld vermogen omvormers";"kW";"";"13599";"18747";"19611"
"Krimpen aan den IJssel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Krimpenerwaard";"Installaties";"aantal";"5112";"8279";"10993";"11557"
"Krimpenerwaard";"Opgesteld vermogen van zonnepanelen";"kWp";"34769";"49686";"66793";"70365"
"Krimpenerwaard";"Opgesteld vermogen omvormers";"kW";"";"44318";"58348";"61279"
"Krimpenerwaard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Laarbeek";"Installaties";"aantal";"3080";"4025";"4969";"5155"
"Laarbeek";"Opgesteld vermogen van zonnepanelen";"kWp";"26660";"51349";"65808";"66950"
"Laarbeek";"Opgesteld vermogen omvormers";"kW";"";"44407";"55412";"56411"
"Laarbeek";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Land van Cuijk";"Installaties";"aantal";"";"15200";"19188";"20431"
"Land van Cuijk";"Opgesteld vermogen van zonnepanelen";"kWp";"";"162942";"193320";"212290"
"Land van Cuijk";"Opgesteld vermogen omvormers";"kW";"";"146266";"172838";"186006"
"Land van Cuijk";"Productie van zonnestroom";"mln kWh";"";".";".";"."
"Landerd";"Installaties";"aantal";"2132";"";"";""
"Landerd";"Opgesteld vermogen van zonnepanelen";"kWp";"20351";"";"";""
"Landerd";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Landerd";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Landgraaf";"Installaties";"aantal";"5205";"6295";"7424";"7754"
"Landgraaf";"Opgesteld vermogen van zonnepanelen";"kWp";"36831";"42841";"49701";"51218"
"Landgraaf";"Opgesteld vermogen omvormers";"kW";"";"39186";"45186";"46566"
"Landgraaf";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Landsmeer";"Installaties";"aantal";"1195";"1501";"1760";"1830"
"Landsmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"5478";"7181";"8829";"9327"
"Landsmeer";"Opgesteld vermogen omvormers";"kW";"";"6851";"8261";"8669"
"Landsmeer";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Langedijk";"Installaties";"aantal";"4295";"";"";""
"Langedijk";"Opgesteld vermogen van zonnepanelen";"kWp";"25590";"";"";""
"Langedijk";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Langedijk";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Lansingerland";"Installaties";"aantal";"7769";"11228";"13931";"14457"
"Lansingerland";"Opgesteld vermogen van zonnepanelen";"kWp";"75601";"103994";"139184";"143713"
"Lansingerland";"Opgesteld vermogen omvormers";"kW";"";"88224";"116180";"119853"
"Lansingerland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Laren (NH.)";"Installaties";"aantal";"395";"662";"1014";"1084"
"Laren (NH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"2043";"3451";"5494";"6056"
"Laren (NH.)";"Opgesteld vermogen omvormers";"kW";"";"3250";"4970";"5432"
"Laren (NH.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leeuwarden";"Installaties";"aantal";"15464";"18852";"22422";"23334"
"Leeuwarden";"Opgesteld vermogen van zonnepanelen";"kWp";"131111";"150014";"172630";"177770"
"Leeuwarden";"Opgesteld vermogen omvormers";"kW";"";"141352";"161221";"165696"
"Leeuwarden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leiden";"Installaties";"aantal";"6659";"8745";"11079";"11775"
"Leiden";"Opgesteld vermogen van zonnepanelen";"kWp";"25985";"34312";"45848";"49344"
"Leiden";"Opgesteld vermogen omvormers";"kW";"";"32523";"42552";"45551"
"Leiden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leiderdorp";"Installaties";"aantal";"2321";"2909";"3722";"3884"
"Leiderdorp";"Opgesteld vermogen van zonnepanelen";"kWp";"8963";"11640";"15508";"16236"
"Leiderdorp";"Opgesteld vermogen omvormers";"kW";"";"11100";"14491";"15109"
"Leiderdorp";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leidschendam-Voorburg";"Installaties";"aantal";"3736";"5252";"7026";"7430"
"Leidschendam-Voorburg";"Opgesteld vermogen van zonnepanelen";"kWp";"15580";"21468";"29227";"30966"
"Leidschendam-Voorburg";"Opgesteld vermogen omvormers";"kW";"";"20090";"26705";"28179"
"Leidschendam-Voorburg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Lelystad";"Installaties";"aantal";"9974";"12755";"16083";"16839"
"Lelystad";"Opgesteld vermogen van zonnepanelen";"kWp";"148804";"219083";"286639";"291893"
"Lelystad";"Opgesteld vermogen omvormers";"kW";"";"196286";"256846";"261534"
"Lelystad";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leudal";"Installaties";"aantal";"5611";"6959";"8570";"8853"
"Leudal";"Opgesteld vermogen van zonnepanelen";"kWp";"52823";"66366";"79333";"84237"
"Leudal";"Opgesteld vermogen omvormers";"kW";"";"59964";"71145";"74917"
"Leudal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Leusden";"Installaties";"aantal";"4023";"5602";"6881";"7253"
"Leusden";"Opgesteld vermogen van zonnepanelen";"kWp";"22815";"31260";"39257";"41352"
"Leusden";"Opgesteld vermogen omvormers";"kW";"";"28086";"34707";"36474"
"Leusden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Lingewaard";"Installaties";"aantal";"6860";"9130";"11257";"11754"
"Lingewaard";"Opgesteld vermogen van zonnepanelen";"kWp";"54223";"67145";"81693";"83502"
"Lingewaard";"Opgesteld vermogen omvormers";"kW";"";"60789";"72487";"74093"
"Lingewaard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Lisse";"Installaties";"aantal";"3056";"3927";"4760";"5077"
"Lisse";"Opgesteld vermogen van zonnepanelen";"kWp";"11527";"16315";"20722";"21978"
"Lisse";"Opgesteld vermogen omvormers";"kW";"";"15269";"19128";"20225"
"Lisse";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Lochem";"Installaties";"aantal";"4554";"5723";"7139";"7557"
"Lochem";"Opgesteld vermogen van zonnepanelen";"kWp";"58221";"101097";"111046";"113938"
"Lochem";"Opgesteld vermogen omvormers";"kW";"";"87841";"96406";"98944"
"Lochem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Loon op Zand";"Installaties";"aantal";"2356";"3087";"4051";"4311"
"Loon op Zand";"Opgesteld vermogen van zonnepanelen";"kWp";"13672";"23607";"39405";"40889"
"Loon op Zand";"Opgesteld vermogen omvormers";"kW";"";"19647";"30965";"32185"
"Loon op Zand";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Lopik";"Installaties";"aantal";"1664";"2246";"2860";"2971"
"Lopik";"Opgesteld vermogen van zonnepanelen";"kWp";"15015";"19555";"23796";"24606"
"Lopik";"Opgesteld vermogen omvormers";"kW";"";"18033";"21696";"22367"
"Lopik";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Loppersum";"Installaties";"aantal";"";"";"";""
"Loppersum";"Opgesteld vermogen van zonnepanelen";"kWp";"";"";"";""
"Loppersum";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Loppersum";"Productie van zonnestroom";"mln kWh";"";"";"";""
"Losser";"Installaties";"aantal";"3005";"3851";"4945";"5131"
"Losser";"Opgesteld vermogen van zonnepanelen";"kWp";"48735";"54356";"62534";"63949"
"Losser";"Opgesteld vermogen omvormers";"kW";"";"46868";"54047";"55240"
"Losser";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Maasdriel";"Installaties";"aantal";"3690";"4962";"5960";"6228"
"Maasdriel";"Opgesteld vermogen van zonnepanelen";"kWp";"27248";"35141";"43847";"45362"
"Maasdriel";"Opgesteld vermogen omvormers";"kW";"";"32747";"40230";"41529"
"Maasdriel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Maasgouw";"Installaties";"aantal";"4141";"5232";"6286";"6512"
"Maasgouw";"Opgesteld vermogen van zonnepanelen";"kWp";"20661";"26506";"36806";"39218"
"Maasgouw";"Opgesteld vermogen omvormers";"kW";"";"25169";"34450";"36285"
"Maasgouw";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Maashorst";"Installaties";"aantal";"";"11191";"13537";"14137"
"Maashorst";"Opgesteld vermogen van zonnepanelen";"kWp";"";"93826";"111790";"116867"
"Maashorst";"Opgesteld vermogen omvormers";"kW";"";"85690";"100924";"105148"
"Maashorst";"Productie van zonnestroom";"mln kWh";"";".";".";"."
"Maassluis";"Installaties";"aantal";"2163";"3414";"4944";"5228"
"Maassluis";"Opgesteld vermogen van zonnepanelen";"kWp";"8824";"14761";"20600";"21857"
"Maassluis";"Opgesteld vermogen omvormers";"kW";"";"13163";"18220";"19319"
"Maassluis";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Maastricht";"Installaties";"aantal";"8254";"11023";"13867";"14599"
"Maastricht";"Opgesteld vermogen van zonnepanelen";"kWp";"59230";"74322";"88594";"92137"
"Maastricht";"Opgesteld vermogen omvormers";"kW";"";"64839";"77177";"80232"
"Maastricht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Medemblik";"Installaties";"aantal";"6715";"8586";"10536";"11070"
"Medemblik";"Opgesteld vermogen van zonnepanelen";"kWp";"91327";"104841";"121913";"126466"
"Medemblik";"Opgesteld vermogen omvormers";"kW";"";"87669";"102546";"106125"
"Medemblik";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Meerssen";"Installaties";"aantal";"2802";"3379";"4186";"4378"
"Meerssen";"Opgesteld vermogen van zonnepanelen";"kWp";"13985";"17711";"22616";"23522"
"Meerssen";"Opgesteld vermogen omvormers";"kW";"";"16696";"20968";"21786"
"Meerssen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Meierijstad";"Installaties";"aantal";"12012";"14683";"18300";"19150"
"Meierijstad";"Opgesteld vermogen van zonnepanelen";"kWp";"131827";"168144";"197339";"228956"
"Meierijstad";"Opgesteld vermogen omvormers";"kW";"";"144924";"169703";"194679"
"Meierijstad";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Meppel";"Installaties";"aantal";"4277";"5123";"6567";"6909"
"Meppel";"Opgesteld vermogen van zonnepanelen";"kWp";"21259";"26912";"35189";"38559"
"Meppel";"Opgesteld vermogen omvormers";"kW";"";"25377";"32615";"35236"
"Meppel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Middelburg (Z.)";"Installaties";"aantal";"5881";"8755";"10450";"10855"
"Middelburg (Z.)";"Opgesteld vermogen van zonnepanelen";"kWp";"39181";"52070";"60904";"63969"
"Middelburg (Z.)";"Opgesteld vermogen omvormers";"kW";"";"44552";"52388";"54910"
"Middelburg (Z.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Midden-Delfland";"Installaties";"aantal";"2419";"3495";"4194";"4338"
"Midden-Delfland";"Opgesteld vermogen van zonnepanelen";"kWp";"17967";"31703";"39110";"39843"
"Midden-Delfland";"Opgesteld vermogen omvormers";"kW";"";"26371";"32706";"33357"
"Midden-Delfland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Midden-Drenthe";"Installaties";"aantal";"6425";"7539";"8984";"9254"
"Midden-Drenthe";"Opgesteld vermogen van zonnepanelen";"kWp";"78358";"86584";"97021";"124159"
"Midden-Drenthe";"Opgesteld vermogen omvormers";"kW";"";"72322";"81214";"106161"
"Midden-Drenthe";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Midden-Groningen";"Installaties";"aantal";"10566";"13119";"15407";"15984"
"Midden-Groningen";"Opgesteld vermogen van zonnepanelen";"kWp";"280487";"302214";"314681";"317453"
"Midden-Groningen";"Opgesteld vermogen omvormers";"kW";"";"235945";"247135";"249658"
"Midden-Groningen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Mill en Sint Hubert";"Installaties";"aantal";"1441";"";"";""
"Mill en Sint Hubert";"Opgesteld vermogen van zonnepanelen";"kWp";"13125";"";"";""
"Mill en Sint Hubert";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Mill en Sint Hubert";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Moerdijk";"Installaties";"aantal";"4459";"5861";"7391";"7798"
"Moerdijk";"Opgesteld vermogen van zonnepanelen";"kWp";"89769";"115909";"136569";"141310"
"Moerdijk";"Opgesteld vermogen omvormers";"kW";"";"101454";"116886";"120879"
"Moerdijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Molenlanden";"Installaties";"aantal";"4428";"6362";"8300";"9191"
"Molenlanden";"Opgesteld vermogen van zonnepanelen";"kWp";"40722";"54995";"71204";"77314"
"Molenlanden";"Opgesteld vermogen omvormers";"kW";"";"48702";"61525";"66664"
"Molenlanden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Montferland";"Installaties";"aantal";"6130";"7777";"9536";"9842"
"Montferland";"Opgesteld vermogen van zonnepanelen";"kWp";"42708";"53384";"65893";"67739"
"Montferland";"Opgesteld vermogen omvormers";"kW";"";"49387";"59630";"61216"
"Montferland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Montfoort";"Installaties";"aantal";"1596";"2297";"2851";"2996"
"Montfoort";"Opgesteld vermogen van zonnepanelen";"kWp";"18083";"22301";"26548";"27227"
"Montfoort";"Opgesteld vermogen omvormers";"kW";"";"20358";"23995";"24595"
"Montfoort";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Mook en Middelaar";"Installaties";"aantal";"1221";"1556";"1938";"2058"
"Mook en Middelaar";"Opgesteld vermogen van zonnepanelen";"kWp";"6033";"7667";"9779";"10374"
"Mook en Middelaar";"Opgesteld vermogen omvormers";"kW";"";"7303";"9135";"9614"
"Mook en Middelaar";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Neder-Betuwe";"Installaties";"aantal";"2436";"3680";"4899";"5194"
"Neder-Betuwe";"Opgesteld vermogen van zonnepanelen";"kWp";"27781";"60380";"72658";"74160"
"Neder-Betuwe";"Opgesteld vermogen omvormers";"kW";"";"53834";"63471";"64742"
"Neder-Betuwe";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nederweert";"Installaties";"aantal";"2806";"3401";"4067";"4206"
"Nederweert";"Opgesteld vermogen van zonnepanelen";"kWp";"42816";"47173";"53003";"53961"
"Nederweert";"Opgesteld vermogen omvormers";"kW";"";"41999";"46871";"47664"
"Nederweert";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nieuwegein";"Installaties";"aantal";"5474";"7442";"9925";"10564"
"Nieuwegein";"Opgesteld vermogen van zonnepanelen";"kWp";"51421";"61088";"71109";"74939"
"Nieuwegein";"Opgesteld vermogen omvormers";"kW";"";"54317";"62948";"66277"
"Nieuwegein";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nieuwkoop";"Installaties";"aantal";"3065";"4049";"5051";"5324"
"Nieuwkoop";"Opgesteld vermogen van zonnepanelen";"kWp";"20892";"27243";"33983";"35420"
"Nieuwkoop";"Opgesteld vermogen omvormers";"kW";"";"25874";"31715";"32979"
"Nieuwkoop";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nijkerk";"Installaties";"aantal";"5328";"6985";"8768";"9165"
"Nijkerk";"Opgesteld vermogen van zonnepanelen";"kWp";"41233";"54100";"67222";"69676"
"Nijkerk";"Opgesteld vermogen omvormers";"kW";"";"49782";"60869";"62982"
"Nijkerk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nijmegen";"Installaties";"aantal";"15567";"19951";"23979";"25041"
"Nijmegen";"Opgesteld vermogen van zonnepanelen";"kWp";"70602";"98921";"119184";"124675"
"Nijmegen";"Opgesteld vermogen omvormers";"kW";"";"92293";"109794";"114299"
"Nijmegen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nissewaard";"Installaties";"aantal";"7998";"11366";"15308";"15902"
"Nissewaard";"Opgesteld vermogen van zonnepanelen";"kWp";"29895";"43452";"60364";"68704"
"Nissewaard";"Opgesteld vermogen omvormers";"kW";"";"40794";"55280";"61411"
"Nissewaard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Noardeast-Fryslân";"Installaties";"aantal";"6641";"9062";"10929";"11371"
"Noardeast-Fryslân";"Opgesteld vermogen van zonnepanelen";"kWp";"49472";"62283";"75334";"78348"
"Noardeast-Fryslân";"Opgesteld vermogen omvormers";"kW";"";"58468";"69711";"72321"
"Noardeast-Fryslân";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Noord-Beveland";"Installaties";"aantal";"1424";"2658";"3057";"3150"
"Noord-Beveland";"Opgesteld vermogen van zonnepanelen";"kWp";"11665";"17711";"19816";"20765"
"Noord-Beveland";"Opgesteld vermogen omvormers";"kW";"";"16128";"17972";"18796"
"Noord-Beveland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Noordenveld";"Installaties";"aantal";"5155";"6687";"8352";"8664"
"Noordenveld";"Opgesteld vermogen van zonnepanelen";"kWp";"29897";"86766";"145823";"147761"
"Noordenveld";"Opgesteld vermogen omvormers";"kW";"";"72704";"116246";"117946"
"Noordenveld";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Noordoostpolder";"Installaties";"aantal";"6016";"8396";"10585";"11083"
"Noordoostpolder";"Opgesteld vermogen van zonnepanelen";"kWp";"141836";"172744";"216434";"273180"
"Noordoostpolder";"Opgesteld vermogen omvormers";"kW";"";"157892";"195952";"238175"
"Noordoostpolder";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Noordwijk";"Installaties";"aantal";"4456";"6175";"7987";"8444"
"Noordwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"26137";"35950";"45588";"48736"
"Noordwijk";"Opgesteld vermogen omvormers";"kW";"";"33894";"42563";"45364"
"Noordwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nuenen, Gerwen en Nederwetten";"Installaties";"aantal";"3267";"4033";"5068";"5332"
"Nuenen, Gerwen en Nederwetten";"Opgesteld vermogen van zonnepanelen";"kWp";"19785";"24894";"33332";"34842"
"Nuenen, Gerwen en Nederwetten";"Opgesteld vermogen omvormers";"kW";"";"23149";"30411";"31767"
"Nuenen, Gerwen en Nederwetten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Nunspeet";"Installaties";"aantal";"2497";"3359";"4331";"4527"
"Nunspeet";"Opgesteld vermogen van zonnepanelen";"kWp";"17387";"22563";"29729";"31034"
"Nunspeet";"Opgesteld vermogen omvormers";"kW";"";"20967";"27139";"28246"
"Nunspeet";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oegstgeest";"Installaties";"aantal";"2573";"3333";"4090";"4343"
"Oegstgeest";"Opgesteld vermogen van zonnepanelen";"kWp";"11387";"15373";"18852";"19905"
"Oegstgeest";"Opgesteld vermogen omvormers";"kW";"";"14095";"17146";"18092"
"Oegstgeest";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oirschot";"Installaties";"aantal";"2224";"2758";"3624";"3882"
"Oirschot";"Opgesteld vermogen van zonnepanelen";"kWp";"31297";"36754";"42911";"44132"
"Oirschot";"Opgesteld vermogen omvormers";"kW";"";"31905";"37013";"38082"
"Oirschot";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oisterwijk";"Installaties";"aantal";"3187";"4155";"5321";"5627"
"Oisterwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"28787";"37159";"47023";"49805"
"Oisterwijk";"Opgesteld vermogen omvormers";"kW";"";"33194";"41206";"43663"
"Oisterwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oldambt";"Installaties";"aantal";"5897";"7779";"9561";"9995"
"Oldambt";"Opgesteld vermogen van zonnepanelen";"kWp";"49519";"62031";"77011";"80304"
"Oldambt";"Opgesteld vermogen omvormers";"kW";"";"55467";"68631";"71534"
"Oldambt";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oldebroek";"Installaties";"aantal";"2765";"3525";"4420";"4678"
"Oldebroek";"Opgesteld vermogen van zonnepanelen";"kWp";"24712";"28721";"35439";"51097"
"Oldebroek";"Opgesteld vermogen omvormers";"kW";"";"26636";"32358";"43581"
"Oldebroek";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oldenzaal";"Installaties";"aantal";"3694";"5072";"6415";"6697"
"Oldenzaal";"Opgesteld vermogen van zonnepanelen";"kWp";"34389";"43989";"52546";"54228"
"Oldenzaal";"Opgesteld vermogen omvormers";"kW";"";"37527";"44913";"46410"
"Oldenzaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Olst-Wijhe";"Installaties";"aantal";"3180";"3759";"4666";"4915"
"Olst-Wijhe";"Opgesteld vermogen van zonnepanelen";"kWp";"18484";"36130";"41722";"44029"
"Olst-Wijhe";"Opgesteld vermogen omvormers";"kW";"";"29465";"34213";"36069"
"Olst-Wijhe";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ommen";"Installaties";"aantal";"2507";"3065";"3936";"4245"
"Ommen";"Opgesteld vermogen van zonnepanelen";"kWp";"26804";"33088";"39212";"41035"
"Ommen";"Opgesteld vermogen omvormers";"kW";"";"28879";"34133";"35715"
"Ommen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oost Gelre";"Installaties";"aantal";"3819";"4925";"6372";"6787"
"Oost Gelre";"Opgesteld vermogen van zonnepanelen";"kWp";"35633";"46043";"60290";"62994"
"Oost Gelre";"Opgesteld vermogen omvormers";"kW";"";"42626";"54655";"56972"
"Oost Gelre";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oosterhout";"Installaties";"aantal";"5548";"7412";"9586";"9995"
"Oosterhout";"Opgesteld vermogen van zonnepanelen";"kWp";"44769";"61928";"78901";"82329"
"Oosterhout";"Opgesteld vermogen omvormers";"kW";"";"54725";"68290";"71038"
"Oosterhout";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ooststellingwerf";"Installaties";"aantal";"4938";"6312";"7258";"7463"
"Ooststellingwerf";"Opgesteld vermogen van zonnepanelen";"kWp";"109815";"115831";"136809";"138359"
