Date,Time,WindDirection,WindSpeedAvg60min,WindGust,Temperature,Sunshineperhour,GlobalRadiation,HorizontalVisibility,CloudCover,AvgDailyTemperature,capacity,volume,percentage,emission,emissionfactor
2021-01-06,01:00:00,30,40,80,2.9000000000000004,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,02:00:00,40,50,90,2.4000000000000004,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,03:00:00,30,50,90,2.3000000000000003,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,04:00:00,40,40,80,2.2,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,05:00:00,40,40,80,2.0,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,06:00:00,50,40,70,2.0,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,07:00:00,30,30,60,2.0,0,0,70,8,2.379166666666667,1575,1575,0.0001689710043137,0,0.0
2021-01-06,08:00:00,20,30,60,2.2,0,5,70,8,2.379166666666667,101697,101697,0.010910072363913,0,0.0
2021-01-06,09:00:00,20,30,50,2.5,0,15,70,8,2.379166666666667,456319,456319,0.048952225595713,0,0.0
2021-01-06,10:00:00,30,20,50,2.6,0,19,70,8,2.379166666666667,737904,737904,0.079156771302223,0,0.0
2021-01-06,11:00:00,360,20,50,3.0,0,30,70,8,2.379166666666667,907791,907791,0.097377397119999,0,0.0
2021-01-06,12:00:00,350,20,40,3.1,0,18,75,8,2.379166666666667,911381,911381,0.097758628427982,0,0.0
2021-01-06,13:00:00,330,20,50,3.1,0,15,70,8,2.379166666666667,771035,771035,0.082701548933983,0,0.0
2021-01-06,14:00:00,320,20,40,2.9000000000000004,0,8,70,8,2.379166666666667,480747,480747,0.051563199609518,0,0.0
2021-01-06,15:00:00,330,20,40,2.7,0,1,70,8,2.379166666666667,119634,119634,0.012831097468734,0,0.0
2021-01-06,16:00:00,280,10,30,2.3000000000000003,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,17:00:00,300,10,30,2.3000000000000003,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,18:00:00,290,10,20,2.3000000000000003,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,19:00:00,280,10,30,2.1,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,20:00:00,280,20,30,2.2,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,21:00:00,310,20,40,2.2,0,0,70,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,22:00:00,300,20,50,1.5,0,0,58,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,23:00:00,270,10,30,1.3,0,0,61,8,2.379166666666667,0,0,0.0,0,0.0
2021-01-06,00:00:00,270,10,30,1.5,0,0,64,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,01:00:00,270,20,40,1.3,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,02:00:00,270,20,30,1.4,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,03:00:00,260,20,30,1.4,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,04:00:00,260,20,30,1.6,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,05:00:00,260,20,30,1.8,0,0,64,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,06:00:00,280,20,40,2.0,0,0,63,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,07:00:00,270,20,40,1.9,0,0,65,8,2.5833333333333335,2102,2102,0.000225304000196,0,0.0
2021-01-07,08:00:00,270,20,40,2.4000000000000004,0,11,61,8,2.5833333333333335,127568,127568,0.013673042878509,0,0.0
2021-01-07,09:00:00,310,20,50,2.7,0,14,58,8,2.5833333333333335,501540,501540,0.05375437438488,0,0.0
2021-01-07,10:00:00,320,30,60,3.1,0,23,65,8,2.5833333333333335,943720,943720,0.10114269703627,0,0.0
2021-01-07,11:00:00,260,20,50,3.7,0,39,65,8,2.5833333333333335,1073691,1073691,0.11506824940443,0,0.0
2021-01-07,12:00:00,300,30,70,4.0,0,21,65,8,2.5833333333333335,986967,986967,0.10576999932528,0,0.0
2021-01-07,13:00:00,290,30,100,2.8000000000000003,0,9,50,8,2.5833333333333335,852903,852903,0.091399401426315,0,0.0
2021-01-07,14:00:00,300,30,60,3.7,0,5,65,8,2.5833333333333335,586020,586020,0.062797203660011,0,0.0
2021-01-07,15:00:00,310,40,80,3.5,0,1,63,8,2.5833333333333335,133620,133620,0.01431807782501,0,0.0
2021-01-07,16:00:00,300,30,80,3.3000000000000003,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,17:00:00,270,20,50,3.2,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,18:00:00,320,30,60,3.4000000000000004,0,0,59,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,19:00:00,320,20,50,2.9000000000000004,0,0,61,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,20:00:00,310,20,80,2.6,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,21:00:00,310,20,40,2.6,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,22:00:00,300,20,40,2.6,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,23:00:00,310,10,30,2.6,0,0,65,8,2.5833333333333335,0,0,0.0,0,0.0
2021-01-07,00:00:00,270,10,20,2.5,0,0,63,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,01:00:00,290,10,20,2.5,0,0,64,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,02:00:00,300,10,30,2.7,0,0,65,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,03:00:00,290,10,20,2.6,0,0,65,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,04:00:00,290,10,30,2.4000000000000004,0,0,61,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,05:00:00,310,10,20,1.3,0,0,41,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,06:00:00,320,10,20,1.1,0,0,56,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,07:00:00,320,10,20,1.3,0,0,19,8,1.1041666666666667,1977,1977,0.0002117130061378,0,0.0
2021-01-08,08:00:00,340,10,20,2.0,0,9,58,8,1.1041666666666667,162347,162347,0.017384875565767,0,0.0
2021-01-08,09:00:00,360,10,30,2.9000000000000004,8,39,65,8,1.1041666666666667,754101,754101,0.080749846994877,0,0.0
2021-01-08,10:00:00,20,20,50,3.3000000000000003,3,48,70,8,1.1041666666666667,1469043,1469043,0.1573012471199,0,0.0
2021-01-08,11:00:00,30,30,50,3.5,0,41,70,8,1.1041666666666667,1621406,1621406,0.17360949516296,0,0.0
2021-01-08,12:00:00,20,20,40,3.9,0,38,70,8,1.1041666666666667,1881370,1881370,0.20143699645996,0,0.0
2021-01-08,13:00:00,60,20,30,4.3,8,67,70,8,1.1041666666666667,1479769,1479769,0.15843200683594,0,0.0
2021-01-08,14:00:00,50,20,40,3.1,8,23,70,1,1.1041666666666667,1000125,1000125,0.10707477480173,0,0.0
2021-01-08,15:00:00,20,10,20,1.0,0,5,65,0,1.1041666666666667,248465,248465,0.026600109413266,0,0.0
2021-01-08,16:00:00,310,10,20,-0.2,0,0,59,0,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,17:00:00,290,10,20,-1.2000000000000002,0,0,37,4,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,18:00:00,330,10,10,-2.0,0,0,4,1,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,19:00:00,0,10,20,-1.4,0,0,50,6,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,20:00:00,280,10,20,-1.8,0,0,50,4,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,21:00:00,290,10,20,-2.0,0,0,58,8,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,22:00:00,280,10,20,-2.5,0,0,15,3,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,23:00:00,290,10,20,-2.8000000000000003,0,0,48,2,1.1041666666666667,0,0,0.0,0,0.0
2021-01-08,00:00:00,270,10,20,-3.0,0,0,57,1,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,01:00:00,300,10,20,-3.4000000000000004,0,0,56,2,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,02:00:00,300,10,20,-2.7,0,0,58,3,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,03:00:00,290,10,20,-3.3000000000000003,0,0,57,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,04:00:00,290,10,20,-3.9,0,0,58,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,05:00:00,320,10,20,-4.2,0,0,56,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,06:00:00,290,10,30,-4.4,0,0,59,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,07:00:00,290,10,20,-4.2,0,1,60,1,-0.6375000000000001,2590,2590,0.0002771049912553,0,0.0
2021-01-09,08:00:00,330,10,30,-1.5,7,23,61,7,-0.6375000000000001,296036,296036,0.031672079116106,0,0.0
2021-01-09,09:00:00,290,10,20,0.3,3,33,57,8,-0.6375000000000001,1271973,1271973,0.13608059287071,0,0.0
2021-01-09,10:00:00,280,10,20,3.7,7,60,70,0,-0.6375000000000001,2030882,2030882,0.21726350486279,0,0.0
2021-01-09,11:00:00,310,20,50,5.5,10,86,75,3,-0.6375000000000001,2689359,2689359,0.28769651055336,0,0.0
2021-01-09,12:00:00,300,20,60,5.7,7,71,75,2,-0.6375000000000001,2694075,2694075,0.28819051384926,0,0.0
2021-01-09,13:00:00,300,20,50,6.1000000000000005,10,65,75,1,-0.6375000000000001,2105279,2105279,0.22519725561142,0,0.0
2021-01-09,14:00:00,310,20,80,5.300000000000001,10,41,62,8,-0.6375000000000001,1193161,1193161,0.12762527167797,0,0.0
2021-01-09,15:00:00,270,20,60,3.1,0,2,65,7,-0.6375000000000001,237102,237102,0.025360589846969,0,0.0
2021-01-09,16:00:00,280,10,30,1.1,0,0,50,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,17:00:00,270,10,20,-0.8,0,0,34,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,18:00:00,280,10,20,-1.7000000000000002,0,0,5,1,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,19:00:00,270,10,20,-2.3000000000000003,0,0,6,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,20:00:00,250,10,20,-2.7,0,0,4,0,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,21:00:00,240,10,20,-3.1,0,0,4,1,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,22:00:00,240,10,20,-2.5,0,0,49,7,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,23:00:00,0,10,20,-2.4000000000000004,0,0,58,7,-0.6375000000000001,0,0,0.0,0,0.0
2021-01-09,00:00:00,230,10,10,-2.8000000000000003,0,0,38,4,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,01:00:00,990,10,20,-1.9,0,0,57,7,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,02:00:00,230,20,30,-2.8000000000000003,0,0,58,4,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,03:00:00,180,10,20,-2.6,0,0,58,8,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,04:00:00,200,10,20,-3.0,0,0,43,2,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,05:00:00,190,10,10,-3.3000000000000003,0,0,41,8,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,06:00:00,200,10,20,-2.6,0,0,56,8,1.6416666666666666,0,0,0.0,0,0.0
2021-01-10,07:00:00,190,10,20,-1.5,0,0,57,8,1.6416666666666666,3788,3788,0.0004049125127494,0,0.0
2021-01-10,08:00:00,200,10,30,-0.2,0,9,60,7,1.6416666666666666,221647,221647,0.023691885173321,0,0.0
2021-01-10,09:00:00,230,20,30,2.0,3,34,65,7,1.6416666666666666,910614,910614,0.097332298755646,0,0.0
2021-01-10,10:00:00,230,20,50,4.7,10,82,75,7,1.6416666666666666,1699836,1699836,0.18168325722218,0,0.0
2021-01-10,11:00:00,230,30,50,5.0,5,72,75,8,1.6416666666666666,2145909,2145909,0.22935225069523,0,0.0
